<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.03	02:15:00	21491.28	21496.40	21473.50	21478.40	3649	0	95
2025.06.03	02:30:00	21478.50	21491.78	21475.78	21488.40	4544	0	95
2025.06.03	02:45:00	21488.53	21490.50	21475.75	21483.40	3847	0	95
2025.06.03	03:00:00	21483.28	21490.40	21476.28	21489.50	5519	0	95
2025.06.03	03:15:00	21489.40	21500.40	21483.53	21495.25	4941	0	95
2025.06.03	03:30:00	21495.00	21497.15	21479.15	21496.50	6090	0	95
2025.06.03	03:45:00	21496.40	21496.50	21483.15	21486.25	4773	0	95
2025.06.03	04:00:00	21486.40	21490.15	21467.75	21470.40	4908	0	95
2025.06.03	04:15:00	21470.53	21471.28	21451.75	21455.65	6610	0	95
2025.06.03	04:30:00	21455.50	21474.53	21441.50	21467.00	8521	0	95
2025.06.03	04:45:00	21467.15	21469.75	21459.15	21467.40	2986	0	95
2025.06.03	05:00:00	21467.28	21467.28	21456.50	21458.25	3100	0	95
2025.06.03	05:15:00	21458.25	21462.65	21437.65	21440.40	4542	0	95
2025.06.03	05:30:00	21440.28	21464.40	21436.78	21463.15	5435	0	95
2025.06.03	05:45:00	21463.00	21467.15	21450.65	21460.90	3568	0	95
2025.06.03	06:00:00	21460.78	21463.40	21454.00	21457.75	2569	0	95
2025.06.03	06:15:00	21457.65	21459.50	21445.90	21448.15	2474	0	95
2025.06.03	06:30:00	21448.00	21451.90	21444.00	21449.90	2111	0	95
2025.06.03	06:45:00	21449.78	21457.03	21444.90	21452.50	2439	0	95
2025.06.03	07:00:00	21452.75	21469.00	21451.00	21462.40	3721	0	95
2025.06.03	07:15:00	21462.53	21466.15	21455.53	21457.40	2725	0	95
2025.06.03	07:30:00	21457.53	21471.50	21452.75	21453.90	3504	0	95
2025.06.03	07:45:00	21453.75	21465.15	21452.65	21464.15	2934	0	95
2025.06.03	08:00:00	21464.03	21468.00	21437.78	21447.25	6695	0	95
2025.06.03	08:15:00	21447.40	21463.28	21440.15	21448.50	5715	0	95
2025.06.03	08:30:00	21448.25	21466.15	21446.00	21463.28	4570	0	95
2025.06.03	08:45:00	21463.40	21476.28	21463.15	21468.75	5156	0	95
2025.06.03	09:00:00	21468.90	21480.50	21459.03	21469.15	11606	0	95
2025.06.03	09:15:00	21469.00	21473.00	21403.90	21412.75	22659	0	95
