Time;Open;High;Low;Close
2025.10.24 10:15;25333.92;25345.90;25331.61;25343.40
2025.10.24 10:30;25344.88;25352.08;25334.37;25351.61
2025.10.24 10:45;25351.41;25370.63;25349.11;25352.66
2025.10.24 11:00;25352.41;25358.67;25351.38;25358.37
2025.10.24 11:15;25358.16;25380.17;25353.35;25376.65
2025.10.24 11:30;25377.13;25392.66;25376.88;25388.37
2025.10.24 11:45;25388.13;25389.17;25374.40;25375.88
2025.10.24 12:00;25375.90;25389.12;25367.40;25385.86
2025.10.24 12:15;25386.62;25389.90;25370.82;25374.81
2025.10.24 12:30;25374.63;25385.62;25370.87;25373.91
2025.10.24 12:45;25373.67;25379.36;25363.87;25365.61
2025.10.24 13:00;25365.61;25379.86;25364.57;25378.63
2025.10.24 13:15;25378.61;25379.17;25362.11;25369.37
2025.10.24 13:30;25369.66;25375.83;25363.11;25368.66
2025.10.24 13:45;25368.37;25385.16;25367.90;25373.58
2025.10.24 14:00;25373.37;25383.33;25370.61;25374.63
2025.10.24 14:15;25374.13;25377.63;25363.36;25364.40
2025.10.24 14:30;25364.40;25520.86;25347.66;25470.13
2025.10.24 14:45;25470.17;25486.81;25445.63;25457.61
2025.10.24 15:00;25457.87;25477.82;25452.63;25474.83
2025.10.24 15:15;25474.62;25492.56;25464.11;25464.38
2025.10.24 15:30;25464.86;25529.11;25429.41;25507.17
2025.10.24 15:45;25514.78;25525.65;25464.13;25507.81
2025.10.24 16:00;25507.82;25544.32;25500.61;25536.88
2025.10.24 16:15;25537.17;25538.12;25493.38;25498.57
2025.10.24 16:30;25498.67;25534.67;25470.16;25530.83
2025.10.24 16:45;25530.62;25532.40;25432.66;25467.63
2025.10.24 17:00;25467.17;25502.37;25456.17;25501.42
2025.10.24 17:15;25501.81;25542.12;25501.81;25533.61
2025.10.24 17:30;25534.12;25545.12;25512.87;25519.36
2025.10.24 17:45;25520.12;25531.66;25504.87;25522.37
2025.10.24 18:00;25521.87;25541.36;25520.62;25538.82
2025.10.24 18:15;25538.41;25550.91;25531.66;25535.56
2025.10.24 18:30;25535.82;25545.83;25519.41;25526.92
2025.10.24 18:45;25526.63;25561.06;25520.90;25550.61
2025.10.24 19:00;25550.33;25557.06;25540.36;25542.67
2025.10.24 19:15;25541.92;25556.42;25538.11;25545.66
2025.10.24 19:30;25545.37;25558.85;25540.61;25555.87
2025.10.24 19:45;25555.62;25566.63;25546.87;25548.35
2025.10.24 20:00;25548.31;25553.23;25533.48;25547.00
2025.10.24 20:15;25547.27;25552.48;25539.48;25544.54
2025.10.24 20:30;25544.52;25551.78;25537.50;25538.27
2025.10.24 20:45;25538.29;25544.95;25527.78;25542.49
2025.10.24 21:00;25542.73;25563.78;25541.74;25555.99
2025.10.24 21:15;25556.23;25565.75;25549.98;25560.04
2025.10.24 21:30;25560.25;25560.54;25537.74;25542.00
2025.10.24 21:45;25542.02;25549.24;25518.74;25521.02
2025.10.26 23:00;25747.67;25749.40;25703.49;25710.49
2025.10.26 23:15;25710.18;25742.94;25699.44;25740.68
2025.10.26 23:30;25740.44;25750.98;25720.44;25724.18
2025.10.26 23:45;25724.44;25733.49;25715.43;25720.58
2025.10.27 00:00;25723.73;25740.49;25722.43;25724.36
2025.10.27 00:15;25724.45;25729.49;25717.44;25719.48
2025.10.27 00:30;25719.44;25733.45;25719.44;25725.94
2025.10.27 00:45;25726.45;25727.24;25709.70;25716.70
2025.10.27 01:00;25716.93;25742.18;25706.94;25742.18
2025.10.27 01:15;25741.74;25742.49;25720.94;25730.22
2025.10.27 01:30;25729.73;25742.94;25729.73;25735.45
